id,contact_id,award_type_id,status,nomination_date,presented_date,notes
503bb437-dbb4-55df-bcc3-0b22b960e366,429bf62c-b37f-55c0-a176-dbb513564535,e38215c0-d9ef-5025-8f46-dda7dc4f7a73,approved,2025-10-25,,Magnam tempora corrupti enim laboriosam.
cb2055ad-7152-56e1-b9f9-6e0a55ce90e6,16171277-0225-5774-8d63-abb743257d86,1151530f-3e2a-5aba-a1d7-962459896875,nominated,2025-11-13,,Sunt ipsam deserunt vitae eius neque incidunt esse voluptate voluptate.
ad127b82-05fd-55bd-8906-280efc4326fc,b2bb188b-41c1-528c-bf27-379b78187379,368d2afb-7f1f-5f33-b195-f1e3479f5c9f,nominated,2026-03-09,,Deleniti officiis dolorum quos asperiores.
97ee8220-6402-55c1-aa9c-1bce96f1b8bb,dbab6365-f1c9-5df9-88e2-cd9edcc0b38f,e38215c0-d9ef-5025-8f46-dda7dc4f7a73,presented,2026-03-12,2026-04-29,Saepe molestias aut perspiciatis labore nobis.
7ebd4cf1-079f-5759-b794-ba241228be9c,3fdbd2d6-1c5b-559b-8ec8-34a141820de4,1151530f-3e2a-5aba-a1d7-962459896875,declined,2025-09-28,,Id necessitatibus fuga atque eaque non.
2da58115-a1ea-5067-892f-bc64539c3be1,06cea260-a8dd-53d9-93a4-0a5a47de755e,368d2afb-7f1f-5f33-b195-f1e3479f5c9f,declined,2026-03-09,,Impedit voluptates quis fugit eveniet necessitatibus officiis.
0518ae4b-429a-5359-bb9d-91ee07b49d31,4a721be8-77cb-5a60-940f-0801b137117c,e38215c0-d9ef-5025-8f46-dda7dc4f7a73,nominated,2025-10-23,,Explicabo nobis nobis dolore officiis neque tempore hic fugit exercitationem.
98b4ac7d-0838-5101-bbba-f6f5b19bcc33,634be0ee-3d03-58d0-9640-1b843956564f,1151530f-3e2a-5aba-a1d7-962459896875,declined,2026-01-26,,Vitae nostrum vero debitis nisi quod ipsum adipisci.
4ceed14f-51f0-507b-a401-3282f065da4f,4ce4bf63-98f6-560d-82a1-6f1f106af397,368d2afb-7f1f-5f33-b195-f1e3479f5c9f,approved,2026-07-10,,Laboriosam itaque debitis fuga fugiat.
952ccf20-d99e-531b-af8e-f2d0ece965e8,d17408e6-e69b-5e70-84d5-7a78a69b0511,e38215c0-d9ef-5025-8f46-dda7dc4f7a73,presented,2025-11-03,2025-11-24,Nam animi delectus provident officia debitis esse architecto debitis beatae placeat.
b9c1761b-9827-5d6a-9b20-f2121bfc1824,91ab2e53-2248-5260-9dad-cb2328e3749b,1151530f-3e2a-5aba-a1d7-962459896875,declined,2026-04-15,,Numquam magni rerum nesciunt porro doloribus in modi.
d2ae5c75-6925-50f6-bfa9-2f414ecdf2c2,c49c9a46-1b35-51db-b88f-1b7d5fe50a10,368d2afb-7f1f-5f33-b195-f1e3479f5c9f,declined,2026-05-31,,Assumenda voluptates officiis dignissimos vero provident ipsa.
3c2705b2-65fe-52d6-a19e-c4808a04677e,e2684d1f-12e6-593e-a215-c6841c1c0a39,e38215c0-d9ef-5025-8f46-dda7dc4f7a73,presented,2026-01-28,2026-02-09,Eveniet quam itaque atque quas doloribus officiis.
